title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Star Wars: Knights of the Old Republic,BioWare,LucasArts,"Windows,Mac,Xbox,iOS,Android",15-07-2003,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,single,star-wars-knights-of-the-old-republic.jpg,MobyGames,http://www.mobygames.com/game/star-wars-knights-of-the-old-republic/screenshots,Cheeseness,star-wars-knights-of-the-old-republic
Star Wars: Jedi Knight: Jedi Academy,Raven,LucasArts,"Windows,Mac,Xbox,GameCube",16-09-2003,TRUE,Post-Jedi,independent,TRUE,TRUE,TRUE,"single, multi",star-wars-jedi-knight-jedi-academy.jpg,MobyGames,http://www.mobygames.com/game/star-wars-jedi-knight-jedi-academy/screenshots,Cheeseness,star-wars-jedi-academy
Planetary Forces,CartoonNetwork,CartoonNetwork,Web,01-10-2003,FALSE,Clone Wars,intersects,FALSE?,TRUE,TRUE,single,planetary-forces.jpg,,,Cheeseness,
Star Wars: Rogue Squadron III: Rebel Strike,Factor 5,LucasArts,GameCube,20-10-2003,TRUE,Trilogy,intersects,TRUE,TRUE,TRUE,"single, multi",star-wars-rogue-squadron-iii.jpg,MobyGames,http://www.mobygames.com/game/gamecube/star-wars-rogue-squadron-iii-rebel-strike/screenshots,Cheeseness,
Star Wars: Flight of the Falcon,Pocket Studios,LucasArts,GBA,18-11-2003,TRUE,Trilogy,intersects,FALSE,FALSE,TRUE,single,star-wars-flight-of-the-falcon.png,MobyGames,http://www.mobygames.com/game/gameboy-advance/star-wars-flight-of-the-falcon/screenshots,Cheeseness,
Star Wars Trilogy: Apprentice of the Force,Ubisoft,LucasArts,GBA,21-09-2004,TRUE,Trilogy,adaptation,FALSE,TRUE,TRUE,single,star-wars-trilogy-apprentice-of-the-force.png,MobyGames,http://www.mobygames.com/game/gameboy-advance/star-wars-trilogy-apprentice-of-the-force/screenshots,Cheeseness,
Star Wars Galaxies: Jump to Lightspeed,SOE,LucasArts,Windows,27-10-2004,TRUE,Trilogy,intersects,FALSE,TRUE,TRUE,mmo,star-wars-galaxies-jump-to-lightspeed.jpg,MobyGames,http://www.mobygames.com/game/windows/star-wars-galaxies-jump-to-lightspeed/screenshots,Cheeseness,
Star Wars: Battlefront,Pandemic,LucasArts,"Windows,Mac,PS2,Xbox",19-11-2004,TRUE,"Prequels,Trilogy",intersects,FALSE,TRUE,TRUE,"single, multi",star-wars-battlefront-windows.jpg,MobyGames,http://www.mobygames.com/game/star-wars-battlefront/screenshots,Cheeseness,star-wars-battlefront
Star Wars: Knights of the Old Republic II: The Sith Lords,Obsidian,LucasArts,"Windows,Mac,Linux,Xbox",06-12-2004,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,single,star-wars-knights-of-the-old-republic-ii-the-sith-lords.jpg,MobyGames,http://www.mobygames.com/game/star-wars-knights-of-the-old-republic-ii-the-sith-lords/screenshots,Cheeseness,
Lightsaber Battle Game,Tiger Electronics,Tiger Electronics,TV Game,01-01-2005,FALSE,Prequels,adaptation,FALSE,TRUE,TRUE,single,,,,,
Star Wars: Republic Commando,LucasArts,LucasArts,"Windows,Xbox",28-02-2005,TRUE,Pre-Revenge?,intersects,TRUE,TRUE,TRUE,"single, multi",star-wars-republic-commando.jpg,MobyGames,http://www.mobygames.com/game/star-wars-republic-commando/screenshots,Cheeseness,star-wars-republic-comando
LEGO Star Wars: The Video Game,TT Games,LucasArts,"Windows,Mac,PS2,Xbox,GameCube,GBA",29-03-2005,TRUE,Prequels,adaptation,FALSE,TRUE,TRUE,"single, multi",lego-star-wars-the-video-game.jpg,MobyGames,http://www.mobygames.com/game/windows/lego-star-wars-the-video-game/screenshots,Cheeseness,lego-star-wars
Star Wars: Episode III Revenge of the Sith,Jakks Pacific,Jakks Pacific,TV Game,07-04-2005,TRUE,Revenge,adaptation,FALSE,TRUE,TRUE,single,,,,,
Star Wars: Episode III: Revenge of the Sith,The Collective,LucasArts,"PS2,Xbox,GBA,Nintendo DS,PS3",04-05-2005,TRUE,Revenge,adaptation,FALSE,TRUE,TRUE,"single, multi",star-wars-episode-iii-revenge-of-the-sith.jpg,MobyGames,http://www.mobygames.com/game/star-wars-episode-iii-revenge-of-the-sith,Cheeseness,
Star Wars Galaxies: Rage of the Wookiees,SOE,LucasArts,Windows,05-05-2005,TRUE,Revenge,intersects,FALSE,TRUE,TRUE,mmo,star-wars-galaxies-episode-iii-rage-of-the-wookiees.jpg,MobyGames,http://www.mobygames.com/game/windows/star-wars-galaxies-episode-iii-rage-of-the-wookiees/screenshots,Cheeseness,
Star Wars: Battle Above Coruscant,Universomo,THQ,Mobile,01-07-2005,FALSE,Revenge,adaptation,TRUE?,FALSE,TRUE,single,,,,,
Star Wars: Republic Commando: Order 66,Magellan,THQ,Mobile,01-08-2005,FALSE,Revenge,intersects,FALSE,TRUE,TRUE,single,,,,,
Star Wars: Battlefront II,Pandemic,LucasArts,"Windows,PS2,Xbox,PSP",31-10-2005,TRUE,"Prequels,Trilogy",intersects,FALSE,TRUE,TRUE,"single, multi",star-wars-battlefront-ii-windows.jpg,MobyGames,http://www.mobygames.com/game/star-wars-battlefront-ii/screenshots,Cheeseness,star-wars-battlefront-ii
Star Wars Galaxies: Trials of Obi-Wan,SOE,LucasArts,Windows,01-11-2005,TRUE,"Old Republic,Prequels,Trilogy",intersects,FALSE,TRUE,TRUE,"single, multi",star-wars-galaxies-trials-of-obi-wan.jpg,MobyGames,http://www.mobygames.com/game/windows/star-wars-galaxies-trials-of-obi-wan/screenshots,Cheeseness,
Star Wars: Battle for the Republic,Amplified Games,THQ,Mobile,02-11-2005,FALSE,Clones,intersects,FALSE?,TRUE?,TRUE?,"single, multi",star-wars-battle-for-the-republic.png,MobyGames,http://www.mobygames.com/game/j2me/star-wars-battle-for-the-republic/screenshots,Cheeseness,
Star Wars: Empire at War,Petroglyph,LucasArts,"Windows,Mac",16-02-2006,TRUE,Trilogy,intersects,FALSE?,TRUE,TRUE,"single, multi",star-wars-empire-at-war.jpg,MobyGames,http://www.mobygames.com/game/star-wars-empire-at-war/screenshots,Cheeseness,star-wars-empire-at-war
LEGO Star Wars II: The Original Trilogy,TT Games,LucasArts,"Windows,Mac,PS2,Xbox,Xbox 360,GameCube,PSP,GBA,DS",12-09-2006,TRUE,Trilogy,adaptation,FALSE,TRUE,TRUE,"single, multi",lego-star-wars-ii-the-original-trilogy.jpg,MobyGames,http://www.mobygames.com/game/lego-star-wars-ii-the-original-trilogy/screenshots,Cheeseness,lego-star-wars-ii
Star Wars: Grevious Getaway,Magellan,THQ,Mobile,01-10-2006,FALSE,Revenge,intersects,FALSE?,TRUE,TRUE,single,star-wars-grievous-getaway.png,MobyGames,http://www.mobygames.com/game/j2me/star-wars-grievous-getaway/screenshots,Cheeseness,
Star Wars: Empire at War: Forces of Corruption,Petroglyph,LucasArts,"Windows,Mac",24-10-2006,TRUE,Trilogy,intersects,FALSE,TRUE,TRUE,"single, multi",star-wars-empire-at-war-forces-of-corruption.jpg,MobyGames,http://www.mobygames.com/game/windows/star-wars-empire-at-war-forces-of-corruption/screenshots,Cheeseness,
Star Wars: Lethal Alliance,Ubisoft,Ubisoft,"PSP,DS",07-12-2006,TRUE,Pre-ANH,intersects,FALSE?,TRUE,TRUE,"single, multi",star-wars-lethal-alliance-psp.jpg,MobyGames,http://www.mobygames.com/game/psp/star-wars-lethal-alliance/screenshots,Cheeseness,
Star Wars: Imperial Ace,Flashlabs,THQ,Mobile,31-12-2006,FALSE,Trilogy,independent,TRUE?,FALSE?,TRUE?,single,star-wars-imperial-ace.png,MobyGames,http://www.mobygames.com/game/psp/star-wars-lethal-alliance/screenshots,Cheeseness,
Star Wars: Original Trilogy,Jakks Pacific,Jakks Pacific,TV Game,31-12-2006,TRUE,Trilogy,adaptation,FALSE,FALSE,TRUE,single,,,,,
Star Wars: Battlefront: Renegade Squadron,Rebellion,LucasArts,PSP,09-10-2007,TRUE,Trilogy,intersects,FALSE?,TRUE,TRUE,"single, multi",star-wars-battlefront-renegade-squadron.jpg,MobyGames,http://www.mobygames.com/game/psp/star-wars-battlefront-renegade-squadron/screenshots,Cheeseness,
Star Wars The Empire Strikes Back,G5 Entertainment,THQ,Mobile,01-12-2007,FALSE,Empire,adaptation,TRUE?,TRUE,TRUE,single,star-wars-the-empire-strikes-back.png,MobyGames,"http://www.mobygames.com/game/j2me/star-wars-the-empire-strikes-back___/screenshots/gameShotId,452440/",Cheeseness,
Clone Trooper Blaster Game,Tiger Electronics,Tiger Electronics,TV Game,01-01-2008,FALSE,Clone Wars,adaptation,FALSE?,FALSE,FALSE?,single,,,,,
Clones vs Droids,StarWars.com,StarWars.com,Web,01-01-2008,FALSE,Clone Wars,independent,TRUE?,FALSE,FALSE,single,clones-vs-droids.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Clonesvdroids.jpg,Cheeseness,
Star Wars: Clone Wars: Sharpshooter,StarWars.com,StarWars.com,Web,02-01-2008,FALSE,Clone Wars,independent,TRUE?,FALSE,TRUE,single,star-wars-clone-wars-sharpshooter.jpg,,,Cheeseness,
Star Wars: The Clone Wars: Live Fire,StarWars.com,StarWars.com,Web,01-07-2008,FALSE,Clone Wars,independent,TRUE?,FALSE?,FALSE?,single,star-wars-clone-wars-live-fire.jpg,,,Cheeseness,
