title,dev,pub,plat,date_release,date_certainty,date_fiction,film_relationship,canon_ish,jedi,film_chars,multiplayer,screen,screen_source,screen_source_path,screen_contributed,article_anchor
Star Wars: Tiny Death Star,"NimbleBit,Disney",LucasArts,"Android,iOS,Windows",11-10-2013,TRUE,Pre-Empire,intersects,FALSE,TRUE?,TRUE,single,star-wars-tiny-death-star.jpg,MobyGames,http://www.mobygames.com/game/star-wars-tiny-death-star/screenshots,Cheeseness,
Star Wars: The Old Republic: Galactic Starfighter,BioWare,EA,Windows,14-01-2014,TRUE,Old Republic,independent,TRUE,TRUE,TRUE,mmo,star-wars-the-old-republic-galactic-starfighter.jpg,Star Wars: The Old Republic Wiki,http://swtor.wikia.com/wiki/File:SWTOR_Galactic_Starfighter_PR_Screen_(2).jpg,Cheeseness,
LEGO Star Wars: Microfighters,TT Games,LucasArts,iOS,30-01-2014,TRUE,"Prequels,Trilogy",adaptation,FALSE,TRUE,TRUE,single,lego-star-wars-microfighters.jpg,,,Cheeseness,
Star Wars: Assault Team,Disney,LucasArts,"Android,iOS,Windows",26-03-2014,TRUE,Trilogy,independent,FALSE?,TRUE,TRUE,single,star-wars-assault-team.jpg,Wookieepedia,http://starwars.wikia.com/wiki/File:Assault_Teams_Screenshot.jpeg,Cheeseness,
Star Wars Journeys: The Phantom Menace,Disney,LucasArts,iOS,22-04-2014,TRUE,Phantom,adaptation,TRUE?,FALSE?,TRUE?,single,,,,,
Star Wars: Galactic Defense,DeNA Santiago,Lucasfilm,"iOS,Android",28-04-2014,TRUE,"Prequels,Trilogy",adaptation,FALSE?,TRUE,TRUE,single,star-wars-galactic-defense.jpg,MobyGames,http://www.mobygames.com/game/star-wars-galactic-defense/screenshots,Cheeseness,
LEGO Star Wars Ultimate Rebel,Amuzo,LEGO,Web,06-05-2014,TRUE,"Trilogy,Prequels,Rebels?",independent,FALSE,TRUE?,TRUE,single,lego-star-wars-ultimate-rebel.jpg,,,Cheeseness,
Star Wars Scene Maker,Disney,Disney,iOS,19-06-2014,TRUE,"Prequels,Trilogy",adaptation,FALSE?,TRUE,TRUE,single,,,,,
Agent P Rebel Spy,Disney,Disney,Web,20-06-2014,TRUE,Trilogy,independent,FALSE,FALSE,FALSE,single,agent-p-rebel-spy.jpg,,,Cheeseness,
Star Wars Rebels: Ghost Raid,Disney,Disney,Web,16-07-2014,TRUE,Rebels,intersects,TRUE?,TRUE?,TRUE,single,star-wars-rebels-ghost-raid.jpg,,,Cheeseness,
Star Wars: The Old Republic: Galactic Strongholds,BioWare,EA,Windows,19-08-2014,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,star-wars-the-old-republic-galactic-strongholds.jpg,Star Wars: The Old Republic Wiki,http://swtor.wikia.com/wiki/File:Nar_Shaddaa_Sky_Palace.png,Cheeseness,
Star Wars: Commander,Disney,Disney,"iOS,Android,Windows",21-08-2014,TRUE,Pre-Empire,intersects,TRUE?,FALSE,TRUE,"single, multi",star-wars-commander.jpg,MobyGames,http://www.mobygames.com/game/star-wars-commander/screenshots,Cheeseness,
LEGO Star Wars: The New Yoda Chronicles,Amuzo,LEGO,"Web,iOS,Android",04-09-2014,TRUE,Yoda Chronicles,adaptation,FALSE?,TRUE?,TRUE,single,,,,,
Star Wars Rebels: Rebel Strike,Disney,Disney,Web,09-10-2014,TRUE,Rebels,adaptation,TRUE?,TRUE,TRUE,single,star-wars-rebels-rebel-strike.jpg,,,Cheeseness,
Star Wars Rebels: Strike Missions,Disney,Disney,Web,09-10-2014,TRUE,Rebels,intersects,FALSE?,TRUE?,TRUE,single,star-wars-rebels-strike-missions.jpg,,,Cheeseness,
LEGO Star Wars: Empire vs Rebels,LEGO,LEGO,Web,01-12-2014,FALSE,Rebels?,independent,FALSE,FALSE,TRUE,single,,,,,
Star Wars: The Old Republic: Shadow of Revan,BioWare,EA,Windows,02-12-2014,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,star-wars-the-old-republic-shadow-of-revan.jpg,Star Wars: The Old Republic Website,http://www.swtor.com/shadow-of-revan,Cheeseness,
Star Wars Journeys: Beginnings,Disney,Disney,iOS,18-12-2014,TRUE,Prequels,adaptation,TRUE?,TRUE?,TRUE?,single,,,,,
Star Wars Rebels: Recon Missions,Gigataur,Disney,Web,26-03-2015,TRUE,Rebels,independent,TRUE?,TRUE,TRUE,single,star-wars-rebels-recon-missions.jpg,MobyGames,http://www.mobygames.com/game/star-wars-rebels-recon-missions/screenshots,Cheeseness,
LEGO Star Wars: Force Builder,North Kingdom,LEGO,"iOS,Android",04-04-2015,TRUE,All,independent,FALSE,FALSE,TRUE,single,,,,,
Star Wars: Heroes Path,Disney,Disney,iOS,18-06-2015,TRUE,ANH,adaptation,FALSE?,TRUE,TRUE,single,,,,,
Star Wars: Battle Pod,Bandai Namco,Bandai Namco,Arcade cabinet,31-07-2015,TRUE,Trilogy,adaptation,FALSE,FALSE,TRUE,single,star-wars-battle-pod.jpg,Star Wars: Battle Pod Website,http://www.starwarsbattlepod.com/stage,Cheeseness,
Star Wars: Uprising,Kabam,Disney,"iOS,Android",10-09-2015,TRUE,Post-Jedi,independent,TRUE,FALSE?,TRUE,single,star-wars-uprising.jpg,MobyGames,http://www.mobygames.com/game/star-wars-uprising/screenshots,Cheeseness,
Star Wars Rebels: Team Tactics (Star Wars Arcade),Disney,Disney,Web,14-10-2015,TRUE,Rebels,adaptation,FALSE?,TRUE,TRUE,single,star-wars-rebels-team-tactics.jpg,,,Cheeseness,
Star Wars: The Old Republic: Knights of the Fallen Empire,BioWare,EA,Windows,27-10-2015,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,star-wars-the-old-republic-knights-of-the-fallen-empire.jpg,Star Wars: The Old Republic Website,http://www.swtor.com/fallen-empire,Cheeseness,
Star Wars: Battlefront (Reboot),DICE,EA,"Windows,PS4,Xbox One",17-11-2015,TRUE,Trilogy,adaptation,FALSE,TRUE,TRUE,multi,star-wars-battlefront-iii.jpg,MobyGames,http://www.mobygames.com/game/star-wars-battlefront_/screenshots,Cheeseness,
Star Wars: Galaxy of Heroes,Capital Games,EA,"iOS,Android",24-11-2015,TRUE,"Prequels,Trilogy,TFA",independent,FALSE,TRUE,TRUE,single,star-wars-galaxy-of-heroes.jpg,MobyGames,http://www.mobygames.com/game/star-wars-galaxy-of-heroes/screenshots,Cheeseness,
Star Wars: Blaster Strike,Jakks Pacific,Jakks Pacific,TV Game,01-12-2015,FALSE,Trilogy,adaptation,FALSE,TRUE,TRUE,single,,,,,
LEGO Star Wars: Empire vs Rebels 2016,LEGO,LEGO,Web,05-01-2016,FALSE,Trilogy,independent,FALSE,FALSE,TRUE,single,,,,,
Yoda's Jedi Training (Star Wars Arcade),Disney,Disney,Web,23-02-2016,TRUE,Empire,adaptation,FALSE?,TRUE,TRUE,single,star-wars-yodas-jedi-training.jpg,,,Cheeseness,
LEGO Star Wars: The Force Awakens,TT Games,Warner Brothers,"Windows,PS3,PS4,Vita,WiiU,3DS,Xbox 360,Xbox One",28-06-2016,TRUE,TFA,adaptation,FALSE,TRUE,TRUE,"single, multi",lego-star-wars-the-force-awakens.jpg,,,Chris Marsden,
Trials on Tatooine,ILMxLAB,ILMxLAB,Windows,18-07-2016,TRUE,Post-Jedi,independent,TRUE,TRUE,TRUE,single,trials-in-tatooine.jpg,Steam,http://store.steampowered.com/app/381940/,Cheeseness,
X-Wing Fighter (Star Wars Arcade),Disney,Disney,Web,01-10-2016,FALSE,TFA,adaptation,FALSE,FALSE,FALSE,single,star-wars-x-wing-fighter.jpg,,,Cheeseness,
Boots On The Ground (Star Wars Arcade),Disney,Disney,Web,01-12-2016,FALSE,Rogue One,independent,TRUE?,FALSE,TRUE,single,boots-on-the-ground.jpg,,,Cheeseness,
Star Wars: The Old Republic: Knights of the Eternal Throne,BioWare,EA,Windows,02-12-2016,TRUE,Old Republic,independent,TRUE,TRUE,FALSE,mmo,,,,,
LEGO Star Wars: Empire vs Rebels 2017,LEGO,LEGO,Web,01-01-2017,FALSE,TFA,independent,FALSE,FALSE,TRUE,single,lego-star-wars-empire-vs-rebels-2017.jpg,,,Cheeseness,
Star Wars: Force Arena,Netmarble,Disney,"iOS,Android",11-01-2017,TRUE,All,independent,FALSE,TRUE,TRUE,multi,star-wars-force-arena.jpg,Star Wars: Force Arena Website,http://www.starwarsforcearena.com/en,Cheeseness,
